1, 46.92
2, 63.12
3, 67.31
4, 68.98
5, 70.71
6, 68.74
7, 72.3
8, 72.9
9, 71.66
10, 72.52
11, 73.04
12, 73.92
13, 75.76
14, 75.77
15, 75.64
16, 76.4
17, 76.32
18, 76.39
19, 76.6
20, 76.17
21, 77.03
22, 76.77
23, 76.68
24, 77.41
25, 76.99
26, 78.21
27, 77.68
28, 79.26
29, 77.37
30, 77.8
31, 78.31
32, 79.49
33, 78.65
34, 79.32
35, 79.25
36, 79.39
37, 78.96
38, 79.55
39, 79.97
40, 79.98
41, 79.96
42, 80.29
43, 80.26
44, 79.02
45, 79.32
46, 80.02
47, 80.25
48, 80.45
49, 80.71
50, 80.88
51, 81.36
52, 81
53, 80.68
54, 81.01
55, 81
56, 80.71
57, 80.79
58, 80.6
59, 80.72
60, 79.93
61, 81.4
62, 81.23
63, 82.23
64, 81.39
65, 82.39
66, 81.31
67, 81.92
68, 82.6
69, 81.66
70, 81.85
71, 82.03
72, 81.9
73, 81.87
74, 82.38
75, 81.89
76, 82.79
77, 82.22
78, 82.35
79, 82.42
80, 82.11
81, 82.11
82, 81.87
83, 82.02
84, 82.34
85, 82.39
86, 82.49
87, 82.58
88, 82.49
89, 82.8
90, 82.98
91, 81.98
92, 82.56
93, 82.05
94, 82.32
95, 82.79
96, 83.04
97, 82.64
98, 82.17
99, 82.7
100, 81.91
101, 82.58
102, 81.61
103, 82.03
104, 82.57
105, 83.84
106, 82.5
107, 83.31
108, 82.59
109, 82.12
110, 83.04
111, 82.98
112, 82.3
113, 81.8
114, 83.64
115, 82.52
116, 82.52
117, 83.45
118, 82.87
119, 82.24
120, 83.01
121, 83.1
122, 83.27
123, 83.26
124, 83.44
125, 83.72
